chrom	type	start	end	strand	attributes
chr1	gene	2636985	2801692	-	ID=ENSG00000215912.13;gene_id=ENSG00000215912.13;gene_type=protein_coding;gene_name=TTC34;level=2;hgnc_id=HGNC:34297;havana_gene=OTTHUMG00000000539.10
chr1	gene	3021466	3022902	+	ID=ENSG00000169717.7;gene_id=ENSG00000169717.7;gene_type=protein_coding;gene_name=ACTRT2;level=2;hgnc_id=HGNC:24026;tag=retrogene;havana_gene=OTTHUMG00000000562.2
chr1	gene	3069167	3438620	+	ID=ENSG00000142611.17;gene_id=ENSG00000142611.17;gene_type=protein_coding;gene_name=PRDM16;level=1;hgnc_id=HGNC:14000;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000000581.10
chr1	gene	3454664	3481112	+	ID=ENSG00000130762.15;gene_id=ENSG00000130762.15;gene_type=protein_coding;gene_name=ARHGEF16;level=2;hgnc_id=HGNC:15515;havana_gene=OTTHUMG00000000625.5
chr1	gene	3487950	3611507	-	ID=ENSG00000162591.17;gene_id=ENSG00000162591.17;gene_type=protein_coding;gene_name=MEGF6;level=2;hgnc_id=HGNC:3232;tag=ncRNA_host;havana_gene=OTTHUMG00000000611.8
chr1	gene	3625014	3630126	+	ID=ENSG00000158109.15;gene_id=ENSG00000158109.15;gene_type=protein_coding;gene_name=TPRG1L;level=2;hgnc_id=HGNC:27007;havana_gene=OTTHUMG00000000609.2
chr1	gene	3630766	3652760	-	ID=ENSG00000116213.16;gene_id=ENSG00000116213.16;gene_type=protein_coding;gene_name=WRAP73;level=1;hgnc_id=HGNC:12759;havana_gene=OTTHUMG00000000612.6
chr1	gene	3652515	3736200	+	ID=ENSG00000078900.15;gene_id=ENSG00000078900.15;gene_type=protein_coding;gene_name=TP73;level=1;hgnc_id=HGNC:12003;havana_gene=OTTHUMG00000000610.7
chr1	gene	3746459	3771644	+	ID=ENSG00000162592.10;gene_id=ENSG00000162592.10;gene_type=protein_coding;gene_name=CCDC27;level=2;hgnc_id=HGNC:26546;havana_gene=OTTHUMG00000003504.5
chr1	gene	3772748	3775981	+	ID=ENSG00000235169.11;gene_id=ENSG00000235169.11;gene_type=protein_coding;gene_name=SMIM1;level=1;hgnc_id=HGNC:44204;havana_gene=OTTHUMG00000003505.7
chr1	gene	3778558	3796497	-	ID=ENSG00000130764.10;gene_id=ENSG00000130764.10;gene_type=protein_coding;gene_name=LRRC47;level=2;hgnc_id=HGNC:29207;havana_gene=OTTHUMG00000003506.4
chr1	gene	3812085	3857395	-	ID=ENSG00000116198.14;gene_id=ENSG00000116198.14;gene_type=protein_coding;gene_name=CEP104;level=2;hgnc_id=HGNC:24866;havana_gene=OTTHUMG00000003507.6
chr1	gene	3857266	3885428	+	ID=ENSG00000169598.17;gene_id=ENSG00000169598.17;gene_type=protein_coding;gene_name=DFFB;level=2;hgnc_id=HGNC:2773;havana_gene=OTTHUMG00000003525.6
chr1	gene	3889124	3900292	-	ID=ENSG00000198912.12;gene_id=ENSG00000198912.12;gene_type=protein_coding;gene_name=C1orf174;level=2;hgnc_id=HGNC:27915;havana_gene=OTTHUMG00000003739.2
chr1	gene	4654608	4792533	+	ID=ENSG00000196581.11;gene_id=ENSG00000196581.11;gene_type=protein_coding;gene_name=AJAP1;level=2;hgnc_id=HGNC:30801;havana_gene=OTTHUMG00000000645.7
chr1	gene	5862810	5992472	-	ID=ENSG00000131697.18;gene_id=ENSG00000131697.18;gene_type=protein_coding;gene_name=NPHP4;level=2;hgnc_id=HGNC:19104;havana_gene=OTTHUMG00000000701.7
chr1	gene	5990926	6101192	+	ID=ENSG00000069424.16;gene_id=ENSG00000069424.16;gene_type=protein_coding;gene_name=KCNAB2;level=2;hgnc_id=HGNC:6229;havana_gene=OTTHUMG00000000795.17
chr1	gene	6101786	6180320	-	ID=ENSG00000116254.18;gene_id=ENSG00000116254.18;gene_type=protein_coding;gene_name=CHD5;level=2;hgnc_id=HGNC:16816;havana_gene=OTTHUMG00000000952.7
chr1	gene	6159429	6197756	-	ID=ENSG00000285629.1;gene_id=ENSG00000285629.1;gene_type=protein_coding;gene_name=ENSG00000285629;level=2;tag=overlapping_locus,readthrough_gene;havana_gene=OTTHUMG00000000953.6
chr1	gene	6185019	6209388	-	ID=ENSG00000116251.11;gene_id=ENSG00000116251.11;gene_type=protein_coding;gene_name=RPL22;level=1;hgnc_id=HGNC:10315;tag=overlapping_locus;havana_gene=OTTHUMG00000193375.2
chr1	gene	6205474	6221298	+	ID=ENSG00000158286.13;gene_id=ENSG00000158286.13;gene_type=protein_coding;gene_name=RNF207;level=2;hgnc_id=HGNC:32947;havana_gene=OTTHUMG00000001089.5
chr1	gene	6221192	6235971	-	ID=ENSG00000116237.16;gene_id=ENSG00000116237.16;gene_type=protein_coding;gene_name=ICMT;level=2;hgnc_id=HGNC:5350;havana_gene=OTTHUMG00000001254.3
chr1	gene	6244178	6245577	+	ID=ENSG00000173673.9;gene_id=ENSG00000173673.9;gene_type=protein_coding;gene_name=HES3;level=2;hgnc_id=HGNC:26226;havana_gene=OTTHUMG00000001271.4
chr1	gene	6247352	6261097	-	ID=ENSG00000158292.7;gene_id=ENSG00000158292.7;gene_type=protein_coding;gene_name=GPR153;level=2;hgnc_id=HGNC:23618;havana_gene=OTTHUMG00000001272.3
chr1	gene	6264268	6393766	-	ID=ENSG00000097021.21;gene_id=ENSG00000097021.21;gene_type=protein_coding;gene_name=ACOT7;level=2;hgnc_id=HGNC:24157;havana_gene=OTTHUMG00000001295.8
chr1	gene	6412417	6424669	-	ID=ENSG00000069812.11;gene_id=ENSG00000069812.11;gene_type=protein_coding;gene_name=HES2;level=2;hgnc_id=HGNC:16005;havana_gene=OTTHUMG00000000752.2
chr1	gene	6424775	6461366	+	ID=ENSG00000187017.18;gene_id=ENSG00000187017.18;gene_type=protein_coding;gene_name=ESPN;level=2;hgnc_id=HGNC:13281;havana_gene=OTTHUMG00000000753.11
chr1	gene	6460785	6466174	-	ID=ENSG00000215788.11;gene_id=ENSG00000215788.11;gene_type=protein_coding;gene_name=TNFRSF25;level=2;hgnc_id=HGNC:11910;tag=overlapping_locus;havana_gene=OTTHUMG00000000831.9
chr1	gene	6467121	6520073	-	ID=ENSG00000171680.23;gene_id=ENSG00000171680.23;gene_type=protein_coding;gene_name=PLEKHG5;level=2;hgnc_id=HGNC:29105;tag=overlapping_locus;havana_gene=OTTHUMG00000000905.5
chr1	gene	6521346	6554512	-	ID=ENSG00000162408.11;gene_id=ENSG00000162408.11;gene_type=protein_coding;gene_name=NOL9;level=2;hgnc_id=HGNC:26265;havana_gene=OTTHUMG00000000904.2
chr1	gene	6555306	6579754	+	ID=ENSG00000173662.21;gene_id=ENSG00000173662.21;gene_type=protein_coding;gene_name=TAS1R1;level=1;hgnc_id=HGNC:14448;havana_gene=OTTHUMG00000001441.4
chr1	gene	6579993	6589279	+	ID=ENSG00000204859.13;gene_id=ENSG00000204859.13;gene_type=protein_coding;gene_name=ZBTB48;level=2;hgnc_id=HGNC:4930;havana_gene=OTTHUMG00000001438.5
chr1	gene	6590723	6614606	-	ID=ENSG00000162413.17;gene_id=ENSG00000162413.17;gene_type=protein_coding;gene_name=KLHL21;level=1;hgnc_id=HGNC:29041;havana_gene=OTTHUMG00000001437.3
chr1	gene	6613730	6624029	+	ID=ENSG00000116273.6;gene_id=ENSG00000116273.6;gene_type=protein_coding;gene_name=PHF13;level=2;hgnc_id=HGNC:22983;havana_gene=OTTHUMG00000001439.2
chr1	gene	6624867	6635585	+	ID=ENSG00000041988.16;gene_id=ENSG00000041988.16;gene_type=protein_coding;gene_name=THAP3;level=2;hgnc_id=HGNC:20855;havana_gene=OTTHUMG00000001440.3
chr1	gene	6634167	6701923	-	ID=ENSG00000007923.17;gene_id=ENSG00000007923.17;gene_type=protein_coding;gene_name=DNAJC11;level=2;hgnc_id=HGNC:25570;havana_gene=OTTHUMG00000001443.6
chr1	gene	6785453	7769705	+	ID=ENSG00000171735.20;gene_id=ENSG00000171735.20;gene_type=protein_coding;gene_name=CAMTA1;level=1;hgnc_id=HGNC:18806;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001212.7
chr1	gene	7771295	7781431	+	ID=ENSG00000049245.13;gene_id=ENSG00000049245.13;gene_type=protein_coding;gene_name=VAMP3;level=1;hgnc_id=HGNC:12644;tag=overlapping_locus;havana_gene=OTTHUMG00000001225.4
chr1	gene	7784290	7845176	+	ID=ENSG00000049246.15;gene_id=ENSG00000049246.15;gene_type=protein_coding;gene_name=PER3;level=1;hgnc_id=HGNC:8847;havana_gene=OTTHUMG00000001216.3
chr1	gene	7843082	7853511	-	ID=ENSG00000049247.14;gene_id=ENSG00000049247.14;gene_type=protein_coding;gene_name=UTS2;level=2;hgnc_id=HGNC:12636;havana_gene=OTTHUMG00000001218.3
chr1	gene	7915870	7943164	-	ID=ENSG00000049249.10;gene_id=ENSG00000049249.10;gene_type=protein_coding;gene_name=TNFRSF9;level=1;hgnc_id=HGNC:11924;havana_gene=OTTHUMG00000001223.5
chr1	gene	7954290	7985504	+	ID=ENSG00000116288.13;gene_id=ENSG00000116288.13;gene_type=protein_coding;gene_name=PARK7;level=1;hgnc_id=HGNC:16369;havana_gene=OTTHUMG00000001210.4
chr1	gene	8004403	8026308	-	ID=ENSG00000116285.13;gene_id=ENSG00000116285.13;gene_type=protein_coding;gene_name=ERRFI1;level=1;hgnc_id=HGNC:18185;havana_gene=OTTHUMG00000001221.4
chr1	gene	8318113	8344166	+	ID=ENSG00000162426.16;gene_id=ENSG00000162426.16;gene_type=protein_coding;gene_name=SLC45A1;level=2;hgnc_id=HGNC:17939;tag=ncRNA_host;havana_gene=OTTHUMG00000000503.6
chr1	gene	8352396	8848920	-	ID=ENSG00000142599.20;gene_id=ENSG00000142599.20;gene_type=protein_coding;gene_name=RERE;level=1;hgnc_id=HGNC:9965;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001765.9
chr1	gene	8860999	8879189	-	ID=ENSG00000074800.16;gene_id=ENSG00000074800.16;gene_type=protein_coding;gene_name=ENO1;level=2;hgnc_id=HGNC:3350;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001773.11
chr1	gene	8945866	8975091	+	ID=ENSG00000131686.15;gene_id=ENSG00000131686.15;gene_type=protein_coding;gene_name=CA6;level=1;hgnc_id=HGNC:1380;havana_gene=OTTHUMG00000001763.8
chr1	gene	9002972	9026422	-	ID=ENSG00000197241.4;gene_id=ENSG00000197241.4;gene_type=protein_coding;gene_name=SLC2A7;level=2;hgnc_id=HGNC:13445;havana_gene=OTTHUMG00000057499.4
chr1	gene	9035105	9088477	-	ID=ENSG00000142583.18;gene_id=ENSG00000142583.18;gene_type=protein_coding;gene_name=SLC2A5;level=2;hgnc_id=HGNC:11010;havana_gene=OTTHUMG00000001771.4
chr1	gene	9100304	9129101	-	ID=ENSG00000180758.12;gene_id=ENSG00000180758.12;gene_type=protein_coding;gene_name=GPR157;level=2;hgnc_id=HGNC:23687;havana_gene=OTTHUMG00000001758.6
chr1	gene	9234773	9271336	+	ID=ENSG00000049239.13;gene_id=ENSG00000049239.13;gene_type=protein_coding;gene_name=H6PD;level=1;hgnc_id=HGNC:4795;havana_gene=OTTHUMG00000001768.2
chr1	gene	9292893	9369531	+	ID=ENSG00000171621.14;gene_id=ENSG00000171621.14;gene_type=protein_coding;gene_name=SPSB1;level=2;hgnc_id=HGNC:30628;havana_gene=OTTHUMG00000001279.5
chr1	gene	9539464	9585172	+	ID=ENSG00000171612.7;gene_id=ENSG00000171612.7;gene_type=protein_coding;gene_name=SLC25A33;level=2;hgnc_id=HGNC:29681;tag=overlapping_locus;havana_gene=OTTHUMG00000001322.3
chr1	gene	9588910	9614876	+	ID=ENSG00000188807.13;gene_id=ENSG00000188807.13;gene_type=protein_coding;gene_name=TMEM201;level=2;hgnc_id=HGNC:33719;havana_gene=OTTHUMG00000057457.3
chr1	gene	9629888	9729113	+	ID=ENSG00000171608.18;gene_id=ENSG00000171608.18;gene_type=protein_coding;gene_name=PIK3CD;level=2;hgnc_id=HGNC:8977;havana_gene=OTTHUMG00000001450.3
chr1	gene	9728925	9823983	-	ID=ENSG00000171603.18;gene_id=ENSG00000171603.18;gene_type=protein_coding;gene_name=CLSTN1;level=2;hgnc_id=HGNC:17447;havana_gene=OTTHUMG00000001451.4
chr1	gene	9848275	9910335	-	ID=ENSG00000178585.15;gene_id=ENSG00000178585.15;gene_type=protein_coding;gene_name=CTNNBIP1;level=2;hgnc_id=HGNC:16913;havana_gene=OTTHUMG00000001796.2
chr1	gene	9922112	9943406	-	ID=ENSG00000162441.12;gene_id=ENSG00000162441.12;gene_type=protein_coding;gene_name=LZIC;level=1;hgnc_id=HGNC:17497;havana_gene=OTTHUMG00000001804.4
chr1	gene	9943427	9985500	+	ID=ENSG00000173614.14;gene_id=ENSG00000173614.14;gene_type=protein_coding;gene_name=NMNAT1;level=1;hgnc_id=HGNC:17877;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001799.7
chr1	gene	9997205	10016020	+	ID=ENSG00000162444.12;gene_id=ENSG00000162444.12;gene_type=protein_coding;gene_name=RBP7;level=2;hgnc_id=HGNC:30316;havana_gene=OTTHUMG00000001798.3
chr1	gene	10032831	10181238	+	ID=ENSG00000130939.20;gene_id=ENSG00000130939.20;gene_type=protein_coding;gene_name=UBE4B;level=2;hgnc_id=HGNC:12500;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000001797.4
chr1	gene	10210569	10381602	+	ID=ENSG00000054523.20;gene_id=ENSG00000054523.20;gene_type=protein_coding;gene_name=KIF1B;level=1;hgnc_id=HGNC:16636;tag=ncRNA_host;havana_gene=OTTHUMG00000001817.2
chr1	gene	10398591	10420510	+	ID=ENSG00000142657.21;gene_id=ENSG00000142657.21;gene_type=protein_coding;gene_name=PGD;level=2;hgnc_id=HGNC:8891;havana_gene=OTTHUMG00000001905.5
